"70th"	"80th"	"90th"	"95th"	"99th"	"OLS"
""	"base_damage_60"	"base_damage_60"	"base_damage_60"	"base_damage_60"	"base_damage_60"	"base_damage_60"
"(Intercept)"	"0.466**"	"6.679***"	"20.755*"	"37.818"	"94.15"	"-38.368"
""	"0.216"	"2.257"	"11.135"	"39.125"	"102.968"	"56.267"
"index"	"-0.016***"	"-0.137***"	"1.226***"	"4.797***"	"26.385***"	"2.536*"
""	"0.005"	"0.045"	"0.405"	"1.303"	"6.813"	"1.472"
"cgdpo"	"0.023***"	"0.062***"	"0.148***"	"0.298***"	"1.251***"	"0.076***"
""	"0.002"	"0.007"	"0.015"	"0.042"	"0.27"	"0.005"
"r1"	"0.026"	"0.057"	"0.111"	"0.155"	"0.265"	"0.027"
""	"base_damage_70"	"base_damage_70"	"base_damage_70"	"base_damage_70"	"base_damage_70"	"base_damage_70"
"(Intercept)"	"0.335*"	"8.962***"	"60.114***"	"191.829***"	"431.572***"	"-17.857"
""	"0.198"	"3.257"	"16.95"	"63.817"	"154.949"	"52.669"
"index"	"-0.018***"	"-0.233***"	"0.262"	"1.402"	"22.933**"	"2.677"
""	"0.006"	"0.078"	"0.642"	"2.185"	"9.029"	"1.766"
"cgdpo"	"0.023***"	"0.062***"	"0.149***"	"0.301***"	"1.255***"	"0.076***"
""	"0.002"	"0.007"	"0.016"	"0.044"	"0.268"	"0.005"
"r1"	"0.026"	"0.057"	"0.107"	"0.149"	"0.257"	"0.027"
""	"base_damage_80"	"base_damage_80"	"base_damage_80"	"base_damage_80"	"base_damage_80"	"base_damage_80"
"(Intercept)"	"0.159"	"10.225**"	"87.104***"	"248.78***"	"788.962***"	"0.213"
""	"0.133"	"4.246"	"17.707"	"53.398"	"287.865"	"50.14"
"index"	"-0.018***"	"-0.349***"	"-0.8"	"-0.527"	"17.551"	"3.025"
""	"0.005"	"0.131"	"0.926"	"2.415"	"13.568"	"2.284"
"cgdpo"	"0.023***"	"0.061***"	"0.15***"	"0.301***"	"1.253***"	"0.076***"
""	"0.002"	"0.007"	"0.016"	"0.044"	"0.271"	"0.005"
"r1"	"0.026"	"0.056"	"0.104"	"0.143"	"0.247"	"0.026"
""	"pop_damage_60"	"pop_damage_60"	"pop_damage_60"	"pop_damage_60"	"pop_damage_60"	"pop_damage_60"
"(Intercept)"	"1.354***"	"11.704***"	"26.877**"	"43.557"	"93.663"	"-27.428"
""	"0.504"	"3.568"	"13.696"	"41.899"	"111.152"	"56.557"
"index"	"-0.029***"	"-0.202***"	"1.104**"	"4.815***"	"25.624***"	"2.54*"
""	"0.01"	"0.075"	"0.446"	"1.381"	"6.819"	"1.472"
"cgdpo"	"0.025***"	"0.069***"	"0.159***"	"0.316***"	"1.163***"	"0.081***"
""	"0.003"	"0.007"	"0.019"	"0.051"	"0.346"	"0.006"
"pop"	"-0.029***"	"-0.083***"	"-0.091"	"-0.205"	"0.796"	"-0.114*"
""	"0.004"	"0.012"	"0.068"	"0.18"	"1.656"	"0.061"
"r1"	"0.027"	"0.059"	"0.111"	"0.155"	"0.266"	"0.028"
""	"pop_damage_70"	"pop_damage_70"	"pop_damage_70"	"pop_damage_70"	"pop_damage_70"	"pop_damage_70"
"(Intercept)"	"1.104*"	"17.959***"	"73.005***"	"197.616***"	"406.634**"	"-5.627"
""	"0.597"	"4.196"	"17.433"	"60.78"	"169.286"	"53.076"
"index"	"-0.03*"	"-0.419***"	"-0.032"	"1.27"	"24.05**"	"2.643"
""	"0.016"	"0.101"	"0.662"	"2.162"	"9.632"	"1.766"
"cgdpo"	"0.026***"	"0.069***"	"0.161***"	"0.32***"	"1.161***"	"0.081***"
""	"0.003"	"0.007"	"0.02"	"0.054"	"0.352"	"0.006"
"pop"	"-0.03***"	"-0.089***"	"-0.101"	"-0.215"	"0.855"	"-0.115*"
""	"0.005"	"0.012"	"0.072"	"0.204"	"1.7"	"0.062"
"r1"	"0.027"	"0.059"	"0.108"	"0.15"	"0.258"	"0.027"
""	"pop_damage_80"	"pop_damage_80"	"pop_damage_80"	"pop_damage_80"	"pop_damage_80"	"pop_damage_80"
"(Intercept)"	"1.003"	"19.778***"	"99.011***"	"251.64***"	"783.248***"	"14.846"
""	"0.657"	"4.934"	"19.49"	"54.292"	"274.507"	"50.802"
"index"	"-0.037"	"-0.613***"	"-1.126"	"-0.661"	"18.239"	"2.88"
""	"0.023"	"0.154"	"1.006"	"2.585"	"14.181"	"2.285"
"cgdpo"	"0.026***"	"0.069***"	"0.161***"	"0.317***"	"1.162***"	"0.082***"
""	"0.003"	"0.007"	"0.021"	"0.057"	"0.36"	"0.006"
"pop"	"-0.03***"	"-0.095***"	"-0.144*"	"-0.214"	"0.801"	"-0.116*"
""	"0.005"	"0.014"	"0.08"	"0.212"	"1.766"	"0.065"
"r1"	"0.027"	"0.058"	"0.105"	"0.143"	"0.248"	"0.027"
""	"gdp_per_capita"	"gdp_per_capita"	"gdp_per_capita"	"gdp_per_capita"	"gdp_per_capita"	"gdp_per_capita"
"(Intercept)"	"-2.498***"	"-7.689***"	"-26.19***"	"-46.027***"	"-204.197***"	"-134.651**"
""	"0.358"	"1.219"	"4.452"	"15.056"	"46.507"	"56.97"
"index"	"-0.013"	"0.041*"	"0.552**"	"4.41***"	"37.345***"	"3.92***"
""	"0.008"	"0.024"	"0.269"	"1.043"	"8.727"	"1.477"
"gdp_percapita"	"2.626***"	"8.016***"	"29.576***"	"52.454***"	"197.189***"	"15.494***"
""	"0.21"	"0.716"	"2.076"	"6.611"	"43.915"	"1.361"
"r1"	"0.012"	"0.034"	"0.079"	"0.11"	"0.154"	"0.016"
""	"koppen"	"koppen"	"koppen"	"koppen"	"koppen"	"koppen"
"(Intercept)"	"1.072***"	"7.611***"	"38.233***"	"49.707"	"29.05"	"-11.567"
""	"0.368"	"2.299"	"13.991"	"35.52"	"102.496"	"89.707"
"index"	"-0.03***"	"-0.161***"	"-0.172"	"2.435*"	"17.934***"	"1.552"
""	"0.008"	"0.044"	"0.415"	"1.249"	"5.656"	"2.31"
"cgdpo"	"0.023***"	"0.058***"	"0.136***"	"0.266***"	"1.232***"	"0.073***"
""	"0.002"	"0.008"	"0.014"	"0.04"	"0.245"	"0.005"
"arid"	"-0.331"	"-3.528"	"5.291"	"48.882"	"231.256"	"46.899"
""	"0.494"	"3.538"	"24.961"	"145.503"	"743.704"	"178.67"
"temperate"	"-1.42***"	"-9.193*"	"-40.324"	"-53.787"	"-47.937"	"-49.944"
""	"0.54"	"5.129"	"33.885"	"86.408"	"588.572"	"126.097"
"cold"	"-0.229"	"-10.903"	"-56.145"	"-66.673"	"285.051"	"-142.363"
""	"4.082"	"16.956"	"39.193"	"120.278"	"1414.61"	"246.986"
"polar"	"-2.301"	"-8.464"	"-38.399**"	"-52.879"	"-457.987"	"-470.894"
""	"1.779"	"14.522"	"16.273"	"334.36"	"493.61"	"530.716"
"t_arid"	"0.007"	"0.063"	"-0.64"	"-2.562"	"2.153"	"-2.466"
""	"0.011"	"0.071"	"0.658"	"3.618"	"24.84"	"4.572"
"t_temperate"	"0.038"	"0.718**"	"5.168***"	"11.371***"	"28.561*"	"3.091"
""	"0.026"	"0.31"	"1.167"	"3.286"	"16.174"	"3.258"
"t_cold"	"0.004"	"0.864"	"4.482**"	"5.984"	"-15.324"	"1.893"
""	"0.097"	"0.719"	"2.264"	"4.243"	"37.788"	"6.311"
"t_polar"	"0.042"	"0.149"	"0.138"	"-2.298"	"127.089*"	"10.983"
""	"0.051"	"0.634"	"0.611"	"32.762"	"75.902"	"13.711"
"r1"	"0.026"	"0.058"	"0.117"	"0.163"	"0.277"	"0.028"
""	"interaction_term"	"interaction_term"	"interaction_term"	"interaction_term"	"interaction_term"	"interaction_term"
"(Intercept)"	"3.01***"	"15.404***"	"31.023**"	"38.196"	"220.579"	"29.974"
""	"0.834"	"3.586"	"15.065"	"51.671"	"256.765"	"61.525"
"index"	"-0.072***"	"-0.317***"	"0.936*"	"4.795***"	"23.252**"	"0.885"
""	"0.018"	"0.071"	"0.483"	"1.677"	"10.162"	"1.59"
"cgdpo"	"-0.006***"	"0.005"	"0.093**"	"0.28***"	"0.747"	"0.01"
""	"0.002"	"0.014"	"0.042"	"0.098"	"0.834"	"0.024"
"index:cgdpo"	"0.001***"	"0.001***"	"0.001"	"0"	"0.011"	"0.001***"
""	"0"	"0"	"0.001"	"0.003"	"0.022"	"0.001"
"r1"	"0.029"	"0.06"	"0.111"	"0.155"	"0.267"	"0.028"
""	"deaths_int_60"	"deaths_int_60"	"deaths_int_60"	"deaths_int_60"	"deaths_int_60"	"deaths_int_60"
"(Intercept)"	"37.211***"	"69.158***"	"162.447***"	"353.294***"	"2959.001**"	"1240.755**"
""	"3.039"	"5.621"	"20.141"	"46.264"	"1264.504"	"596.473"
"index"	"-0.584***"	"-1.085***"	"-2.591***"	"-5.672***"	"-52.117**"	"-27.239*"
""	"0.065"	"0.116"	"0.412"	"0.943"	"24.431"	"15.278"
"pop"	"0.218***"	"0.399***"	"0.85***"	"1.607***"	"5.19"	"6.922***"
""	"0.026"	"0.05"	"0.104"	"0.268"	"3.176"	"2.056"
"index:pop"	"-0.004***"	"-0.007***"	"-0.015***"	"-0.029***"	"-0.094"	"-0.155***"
""	"0.001"	"0.001"	"0.002"	"0.005"	"0.063"	"0.048"
"r1"	"0.009"	"0.01"	"0.012"	"0.014"	"0.014"	"0.003"
""	"deaths_int_70"	"deaths_int_70"	"deaths_int_70"	"deaths_int_70"	"deaths_int_70"	"deaths_int_70"
"(Intercept)"	"22.67***"	"47.54***"	"103.231***"	"241.893***"	"1336.492***"	"863.022***"
""	"2.195"	"4.285"	"10.806"	"32.104"	"447.138"	"182.241"
"index"	"-0.333***"	"-0.787***"	"-1.703***"	"-4.138***"	"-23.542**"	"-22.381***"
""	"0.06"	"0.114"	"0.287"	"0.843"	"11.699"	"5.995"
"pop"	"0.178***"	"0.303***"	"0.711***"	"1.417***"	"4.867**"	"-0.515"
""	"0.02"	"0.039"	"0.101"	"0.266"	"2.114"	"0.566"
"index:pop"	"-0.004***"	"-0.006***"	"-0.016***"	"-0.031***"	"-0.111**"	"0.015"
""	"0"	"0.001"	"0.002"	"0.006"	"0.054"	"0.017"
"r1"	"0.01"	"0.012"	"0.015"	"0.017"	"0.013"	"0.002"
""	"deaths_int_80"	"deaths_int_80"	"deaths_int_80"	"deaths_int_80"	"deaths_int_80"	"deaths_int_80"
"(Intercept)"	"17.273***"	"35.437***"	"75.049***"	"158.445***"	"873.935***"	"544.392***"
""	"1.869"	"3.237"	"8.078"	"26.901"	"242.409"	"138.984"
"index"	"-0.249***"	"-0.618***"	"-1.246***"	"-2.61***"	"-14.059"	"-17.888***"
""	"0.07"	"0.118"	"0.299"	"0.903"	"9.214"	"6.252"
"pop"	"0.133***"	"0.231***"	"0.54***"	"1.13***"	"2.311*"	"-0.342"
""	"0.015"	"0.027"	"0.092"	"0.224"	"1.2"	"0.367"
"index:pop"	"-0.003***"	"-0.006***"	"-0.015***"	"-0.032***"	"-0.065"	"0.014"
""	"0.001"	"0.001"	"0.003"	"0.007"	"0.049"	"0.015"
"r1"	"0.011"	"0.014"	"0.017"	"0.019"	"0.013"	"0.001"
""	"deaths_gdpint_60"	"deaths_gdpint_60"	"deaths_gdpint_60"	"deaths_gdpint_60"	"deaths_gdpint_60"	"deaths_gdpint_60"
"(Intercept)"	"36.227***"	"69.879***"	"155.971***"	"347.173***"	"2950.799**"	"1236.13**"
""	"3.051"	"5.597"	"20.441"	"46.677"	"1281.774"	"597.642"
"index"	"-0.535***"	"-1.059***"	"-2.376***"	"-5.358***"	"-51.646**"	"-27.307*"
""	"0.066"	"0.118"	"0.426"	"0.968"	"24.963"	"15.289"
"pop"	"0.21***"	"0.365***"	"0.838***"	"1.544***"	"5.197"	"6.953***"
""	"0.028"	"0.048"	"0.109"	"0.269"	"3.465"	"2.071"
"cgdpo"	"-0.001***"	"-0.002***"	"-0.004***"	"-0.007***"	"-0.013"	"0.007"
""	"0"	"0"	"0"	"0.002"	"0.013"	"0.056"
"index:pop"	"-0.003***"	"-0.006***"	"-0.014***"	"-0.025***"	"-0.092"	"-0.157***"
""	"0.001"	"0.001"	"0.002"	"0.006"	"0.072"	"0.05"
"r1"	"0.009"	"0.011"	"0.013"	"0.014"	"0.014"	"0.003"
""	"deaths_gdpint_70"	"deaths_gdpint_70"	"deaths_gdpint_70"	"deaths_gdpint_70"	"deaths_gdpint_70"	"deaths_gdpint_70"
"(Intercept)"	"22.865***"	"47.592***"	"100.004***"	"231.917***"	"1136.148**"	"876.705***"
""	"2.291"	"4.259"	"11.123"	"32.696"	"441.299"	"182.831"
"index"	"-0.302***"	"-0.727***"	"-1.454***"	"-3.631***"	"-16.767"	"-22.223***"
""	"0.063"	"0.117"	"0.301"	"0.87"	"12.003"	"5.998"
"pop"	"0.17***"	"0.285***"	"0.662***"	"1.355***"	"4.973**"	"-0.561"
""	"0.021"	"0.039"	"0.107"	"0.276"	"2.304"	"0.568"
"cgdpo"	"-0.001***"	"-0.002***"	"-0.004***"	"-0.007***"	"-0.025*"	"-0.017"
""	"0"	"0"	"0"	"0.002"	"0.014"	"0.019"
"index:pop"	"-0.003***"	"-0.005***"	"-0.013***"	"-0.027***"	"-0.11*"	"0.02"
""	"0.001"	"0.001"	"0.003"	"0.007"	"0.065"	"0.018"
"r1"	"0.011"	"0.013"	"0.016"	"0.018"	"0.014"	"0.002"
""	"deaths_gdpint_80"	"deaths_gdpint_80"	"deaths_gdpint_80"	"deaths_gdpint_80"	"deaths_gdpint_80"	"deaths_gdpint_80"
"(Intercept)"	"17.304***"	"34.563***"	"71.741***"	"150.916***"	"953.679***"	"561.245***"
""	"2.083"	"3.365"	"8.172"	"28.098"	"244.359"	"139.947"
"index"	"-0.191**"	"-0.487***"	"-0.901***"	"-1.973*"	"-17.1*"	"-17.866***"
""	"0.079"	"0.13"	"0.311"	"1.007"	"10.169"	"6.252"
"pop"	"0.129***"	"0.225***"	"0.49***"	"1.133***"	"1.492"	"-0.354"
""	"0.016"	"0.027"	"0.095"	"0.234"	"1.191"	"0.367"
"cgdpo"	"-0.001***"	"-0.002***"	"-0.005***"	"-0.008***"	"-0.046***"	"-0.016"
""	"0"	"0"	"0"	"0.002"	"0.017"	"0.015"
"index:pop"	"-0.003***"	"-0.005***"	"-0.012***"	"-0.029***"	"-0.004"	"0.019"
""	"0.001"	"0.001"	"0.003"	"0.008"	"0.059"	"0.016"
"r1"	"0.013"	"0.016"	"0.019"	"0.021"	"0.015"	"0.001"
